"partyid"
"partyid"
"res16","srcbelt","partyid"
"partyid"
"relig","race","partyid"
"srcbelt","region","partyid"
"region","partyid"
"region","partyid"
"region","partyid"
"region","partyid"
"race","partyid"
"feworkif","region","partyid"
"partyid"
"partyid"
"partyid"
"region","partyid"
"region","partyid"
"xnorcsiz","partyid"
"region","partyid"
"region","partyid"
"partyid"
"region","partyid"
"race","region","partyid"
"region","partyid"
"partyid"
"region","partyid"
"race","xnorcsiz","partyid"
"region","partyid"
"partyid"
"partyid"
"race","region","partyid"
"xnorcsiz","partyid"
"region","partyid"
"region","partyid"
"region","partyid"
"region","partyid"
"partyid"
"partyid"
"race","partyid"
"race","relig16","partyid"
"unemp","partyid"
"region","partyid"
"region","partyid"
"partyid"
"partyid"
"region","partyid"
"xnorcsiz","partyid"
"region","partyid"
"race","partyid"
"race","region","partyid"
